"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Compravendes","Nombre"
2022,1,1,"Ciutat Vella",1,"el Raval","Habitatge nou lliure","--"
2022,1,1,"Ciutat Vella",2,"el Barri Gòtic","Habitatge nou lliure","4"
2022,1,1,"Ciutat Vella",3,"la Barceloneta","Habitatge nou lliure","5"
2022,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Habitatge nou lliure","7"
2022,1,2,"Eixample",5,"el Fort Pienc","Habitatge nou lliure","4"
2022,1,2,"Eixample",6,"la Sagrada Família","Habitatge nou lliure","1"
2022,1,2,"Eixample",7,"la Dreta de l'Eixample","Habitatge nou lliure","35"
2022,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Habitatge nou lliure","16"
2022,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Habitatge nou lliure","27"
2022,1,2,"Eixample",10,"Sant Antoni","Habitatge nou lliure","5"
2022,1,3,"Sants-Montjuïc",11,"el Poble Sec","Habitatge nou lliure","1"
2022,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Habitatge nou lliure","--"
2022,1,3,"Sants-Montjuïc",13,"la Marina de Port","Habitatge nou lliure","2"
2022,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Habitatge nou lliure","7"
2022,1,3,"Sants-Montjuïc",15,"Hostafrancs","Habitatge nou lliure","17"
2022,1,3,"Sants-Montjuïc",16,"la Bordeta","Habitatge nou lliure","1"
2022,1,3,"Sants-Montjuïc",17,"Sants - Badal","Habitatge nou lliure","4"
2022,1,3,"Sants-Montjuïc",18,"Sants","Habitatge nou lliure","3"
2022,1,4,"Les Corts",19,"les Corts","Habitatge nou lliure","11"
2022,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Habitatge nou lliure","2"
2022,1,4,"Les Corts",21,"Pedralbes","Habitatge nou lliure","22"
2022,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Habitatge nou lliure","--"
2022,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Habitatge nou lliure","3"
2022,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Habitatge nou lliure","1"
2022,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Habitatge nou lliure","8"
2022,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Habitatge nou lliure","36"
2022,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Habitatge nou lliure","5"
2022,1,6,"Gràcia",28,"Vallcarca i els Penitents","Habitatge nou lliure","5"
2022,1,6,"Gràcia",29,"el Coll","Habitatge nou lliure","7"
2022,1,6,"Gràcia",30,"la Salut","Habitatge nou lliure","2"
2022,1,6,"Gràcia",31,"la Vila de Gràcia","Habitatge nou lliure","1"
2022,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Habitatge nou lliure","--"
2022,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Habitatge nou lliure","--"
2022,1,7,"Horta-Guinardó",34,"Can Baró","Habitatge nou lliure","--"
2022,1,7,"Horta-Guinardó",35,"el Guinardó","Habitatge nou lliure","7"
2022,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Habitatge nou lliure","10"
2022,1,7,"Horta-Guinardó",37,"el Carmel","Habitatge nou lliure","10"
2022,1,7,"Horta-Guinardó",38,"la Teixonera","Habitatge nou lliure","12"
2022,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Habitatge nou lliure","1"
2022,1,7,"Horta-Guinardó",40,"Montbau","Habitatge nou lliure","1"
2022,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Habitatge nou lliure","2"
2022,1,7,"Horta-Guinardó",42,"la Clota","Habitatge nou lliure","--"
2022,1,7,"Horta-Guinardó",43,"Horta","Habitatge nou lliure","7"
2022,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Habitatge nou lliure","2"
2022,1,8,"Nou Barris",45,"Porta","Habitatge nou lliure","--"
2022,1,8,"Nou Barris",46,"el Turó de la Peira","Habitatge nou lliure","--"
