Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Tipus_Compravendes,N_compravendes,Tipus_Preu_Mitja,Valor,Tipus_Superficie,M2
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Total. Milers d'euros,236.7,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Total. Milers d'euros,236.7,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Total. Milers d'euros,236.7,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Nou. Milers d'euros,379.5,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Nou. Milers d'euros,379.5,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Nou. Milers d'euros,379.5,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Usat. Milers d'euros,228.9,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Usat. Milers d'euros,228.9,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Usat. Milers d'euros,228.9,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Total. Euros/m2 construït,3775.1,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Total. Euros/m2 construït,3775.1,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Total. Euros/m2 construït,3775.1,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Nou. Euros/m2 construït,6523.6,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Nou. Euros/m2 construït,6523.6,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Nou. Euros/m2 construït,6523.6,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Usat. Euros/m2 construït,3625.8,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Usat. Euros/m2 construït,3625.8,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou lliure,6,Usat. Euros/m2 construït,3625.8,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Total. Milers d'euros,236.7,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Total. Milers d'euros,236.7,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Total. Milers d'euros,236.7,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Nou. Milers d'euros,379.5,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Nou. Milers d'euros,379.5,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Nou. Milers d'euros,379.5,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Usat. Milers d'euros,228.9,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Usat. Milers d'euros,228.9,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Usat. Milers d'euros,228.9,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Total. Euros/m2 construït,3775.1,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Total. Euros/m2 construït,3775.1,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Total. Euros/m2 construït,3775.1,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Nou. Euros/m2 construït,6523.6,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Nou. Euros/m2 construït,6523.6,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Nou. Euros/m2 construït,6523.6,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Usat. Euros/m2 construït,3625.8,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Usat. Euros/m2 construït,3625.8,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge nou protegit,0,Usat. Euros/m2 construït,3625.8,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Total. Milers d'euros,236.7,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Total. Milers d'euros,236.7,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Total. Milers d'euros,236.7,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Nou. Milers d'euros,379.5,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Nou. Milers d'euros,379.5,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Nou. Milers d'euros,379.5,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Usat. Milers d'euros,228.9,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Usat. Milers d'euros,228.9,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Usat. Milers d'euros,228.9,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Total. Euros/m2 construït,3775.1,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Total. Euros/m2 construït,3775.1,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Total. Euros/m2 construït,3775.1,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Nou. Euros/m2 construït,6523.6,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Nou. Euros/m2 construït,6523.6,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Nou. Euros/m2 construït,6523.6,Habitatge usat,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Usat. Euros/m2 construït,3625.8,Total,58.9
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Usat. Euros/m2 construït,3625.8,Habitatge nou lliure,59.6
2019,1,1,Ciutat Vella,1,el Raval,Habitatge usat,124,Usat. Euros/m2 construït,3625.8,Habitatge usat,58.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Total. Milers d'euros,411.7,Total,84.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Total. Milers d'euros,411.7,Habitatge nou lliure,98.2
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Total. Milers d'euros,411.7,Habitatge usat,78.4
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Nou. Milers d'euros,556.4,Total,84.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Nou. Milers d'euros,556.4,Habitatge nou lliure,98.2
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Nou. Milers d'euros,556.4,Habitatge usat,78.4
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Usat. Milers d'euros,341.4,Total,84.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Usat. Milers d'euros,341.4,Habitatge nou lliure,98.2
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Usat. Milers d'euros,341.4,Habitatge usat,78.4
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Total. Euros/m2 construït,4885.9,Total,84.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Total. Euros/m2 construït,4885.9,Habitatge nou lliure,98.2
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Total. Euros/m2 construït,4885.9,Habitatge usat,78.4
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Nou. Euros/m2 construït,5767.8,Total,84.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Nou. Euros/m2 construït,5767.8,Habitatge nou lliure,98.2
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Nou. Euros/m2 construït,5767.8,Habitatge usat,78.4
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Usat. Euros/m2 construït,4457.5,Total,84.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Usat. Euros/m2 construït,4457.5,Habitatge nou lliure,98.2
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou lliure,17,Usat. Euros/m2 construït,4457.5,Habitatge usat,78.4
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou protegit,0,Total. Milers d'euros,411.7,Total,84.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou protegit,0,Total. Milers d'euros,411.7,Habitatge nou lliure,98.2
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou protegit,0,Total. Milers d'euros,411.7,Habitatge usat,78.4
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou protegit,0,Nou. Milers d'euros,556.4,Total,84.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou protegit,0,Nou. Milers d'euros,556.4,Habitatge nou lliure,98.2
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou protegit,0,Nou. Milers d'euros,556.4,Habitatge usat,78.4
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou protegit,0,Usat. Milers d'euros,341.4,Total,84.9
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou protegit,0,Usat. Milers d'euros,341.4,Habitatge nou lliure,98.2
2019,1,1,Ciutat Vella,2,el Barri Gòtic,Habitatge nou protegit,0,Usat. Milers d'euros,341.4,Habitatge usat,78.4
